round_end_reason,ct_equip_val,t_equip_val,type_buy_ct,type_buy_t,score_ct,score_t,bomb_plant
TWin,26850,27050,Full Buy,Full Buy,10,10,True
TWin,28250,21500,Full Buy,Full Buy,10,11,False
TWin,2100,21200,Eco,Full Buy,10,12,True
TWin,24750,24300,Full Buy,Full Buy,10,13,False
CTWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
CTWin,1000,2500,Eco,Eco,1,0,False
BombDefused,4250,4250,Eco,Eco,2,0,True
TWin,18150,7500,Half Buy,Force Buy,2,1,True
CTWin,25250,23300,Full Buy,Full Buy,3,1,False
TargetBombed,19300,24300,Half Buy,Full Buy,3,2,True
TargetBombed,27600,7150,Full Buy,Force Buy,3,3,True
TWin,12350,27550,Half Buy,Full Buy,3,4,False
BombDefused,4650,27950,Eco,Full Buy,4,4,True
TargetBombed,23600,27850,Full Buy,Full Buy,4,5,True
CTWin,28300,27450,Full Buy,Full Buy,5,5,False
CTWin,22400,27650,Full Buy,Full Buy,6,5,False
CTWin,29850,22250,Full Buy,Full Buy,5,7,False
CTWin,12200,27600,Half Buy,Full Buy,6,7,False
BombDefused,4000,4350,Eco,Eco,7,7,True
TargetBombed,19550,1500,Half Buy,Eco,7,8,True
TargetBombed,26100,25300,Full Buy,Full Buy,7,9,True
TWin,18900,25400,Half Buy,Full Buy,7,10,True
CTWin,10150,23650,Half Buy,Full Buy,8,10,False
TargetSaved,23600,25700,Full Buy,Full Buy,9,10,False
CTWin,25800,27450,Full Buy,Full Buy,10,10,False
CTWin,28300,15200,Full Buy,Half Buy,11,10,False
TargetBombed,30850,3900,Full Buy,Eco,11,11,True
CTWin,30650,25100,Full Buy,Full Buy,12,11,False
TWin,29800,25300,Full Buy,Full Buy,12,12,True
CTWin,31950,22100,Full Buy,Full Buy,13,12,False
BombDefused,30600,27450,Full Buy,Full Buy,14,12,True
CTWin,30950,25200,Full Buy,Full Buy,12,15,False
CTWin,27450,31250,Full Buy,Full Buy,13,15,False
TWin,30450,27750,Full Buy,Full Buy,13,16,True
TWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
TWin,1000,2500,Eco,Eco,0,1,False
CTWin,3600,3650,Eco,Eco,1,1,False
CTWin,9850,19400,Force Buy,Half Buy,2,1,False
BombDefused,25350,7750,Full Buy,Force Buy,3,1,True
BombDefused,26150,1200,Full Buy,Eco,4,1,True
CTWin,31150,25200,Full Buy,Full Buy,5,1,False
CTWin,30850,24400,Full Buy,Full Buy,6,1,False
CTWin,29950,21800,Full Buy,Full Buy,7,1,False
BombDefused,29750,12350,Full Buy,Half Buy,8,1,True
TargetBombed,27350,24500,Full Buy,Full Buy,8,2,True
TWin,30850,25550,Full Buy,Full Buy,8,3,True
BombDefused,30150,27150,Full Buy,Full Buy,3,9,True
BombDefused,27550,22750,Full Buy,Full Buy,4,9,True
TWin,4750,4300,Eco,Eco,4,10,True
TargetBombed,20350,14200,Full Buy,Half Buy,4,11,True
TWin,7500,21850,Force Buy,Full Buy,4,12,False
TWin,1600,23350,Eco,Full Buy,4,13,True
CTWin,0,0,Eco,Eco,0,0,False
,3250,2600,Eco,Eco,0,0,False
CTWin,5300,4700,Force Buy,Eco,1,0,False
TWin,4300,4350,Eco,Eco,1,1,True
TargetBombed,20400,10050,Full Buy,Half Buy,1,2,True
TWin,9800,23050,Force Buy,Full Buy,1,3,False
TargetBombed,2350,26700,Eco,Full Buy,1,4,True
